#
Processors:3
Tasks:28
# task computation cost on each processor
0 0 0 0 
1 44 27 50 
2 3 4 4 
3 1 0 0 
4 6 4 7 
5 14 16 10 
6 11 6 12 
7 13 14 12 
8 3 1 3 
9 1 0 1 
10 4 3 4 
11 24 20 32 
12 5 5 2 
13 6 6 9 
14 1 1 1 
15 10 12 9 
16 1 0 0 
17 23 23 17 
18 3 2 4 
19 18 18 18 
20 4 4 6 
21 1 1 1 
22 16 24 21 
23 1 0 1 
24 44 65 58 
25 22 11 12 
26 8 9 9 
27 0 0 0 
Dependencies:52
# from_task_id to_task_id weight
0 1 9
0 2 0
0 3 0
0 6 1
0 7 1
0 8 0
0 10 1
0 12 0
0 20 1
1 4 13
1 16 17
2 5 5
2 14 3
2 16 1
2 17 9
3 4 1
3 17 7
4 5 0
4 14 0
5 15 8
5 16 7
5 18 9
6 19 5
6 24 6
6 26 12
7 9 1
7 17 17
8 25 7
9 25 4
10 11 5
10 21 0
10 22 8
11 13 16
12 13 2
12 14 3
12 23 0
13 14 5
14 15 0
15 16 9
16 17 5
17 19 15
18 19 4
18 26 0
19 27 11
20 21 2
20 22 10
21 22 8
22 23 4
23 27 0
24 25 34
25 26 7
26 27 5
