#
Processors:4
Tasks:29
# task computation cost on each processor
0 0 0 0 0 
1 221231 233181 213944 296904 
2 19663 23589 22323 25429 
3 6809 8259 9203 4594 
4 30148 33665 34653 27142 
5 10184 12757 5455 15131 
6 62727 75770 67841 41201 
7 55653 43609 78026 56822 
8 18798 24434 12604 24877 
9 49853 34365 73106 64995 
10 17027 13102 19526 12296 
11 7903 6789 8490 6788 
12 23461 12778 19229 17370 
13 244666 257025 230244 171093 
14 7654 10052 6623 7607 
15 224217 221079 328878 145143 
16 153047 153305 116723 184952 
17 346952 497263 281705 378167 
18 84964 100336 89555 75417 
19 45820 32488 23204 64308 
20 41715 61914 21774 37835 
21 1126 1212 1472 1514 
22 71840 62275 99429 58029 
23 62198 76748 85693 82829 
24 40065 55742 47557 20079 
25 44817 63555 49343 60278 
26 57436 69801 58219 39274 
27 50014 58715 30579 59080 
28 0 0 0 0 
Dependencies:72
# from_task_id to_task_id weight
0 1 60363
0 12 2180
0 16 55412
1 2 33959
1 3 36403
1 5 107128
1 14 244125
1 15 5270
1 23 97407
2 4 12513
2 5 12140
2 6 44728
2 14 977
2 15 106657
2 20 44
2 23 59172
2 24 7601
3 5 11618
3 15 77443
3 20 3400
3 24 382
4 22 2434
4 24 22130
4 25 52288
5 7 37969
5 14 1960
5 25 14496
6 7 86882
6 8 14065
6 14 53352
6 26 36914
7 8 57254
7 9 84312
7 10 27010
7 23 80236
8 24 16097
8 25 28909
8 27 11889
9 10 36319
9 11 39781
9 25 17268
10 11 13638
10 26 390
11 26 5003
12 13 80502
12 19 921
13 14 140373
13 15 2581
14 22 34395
14 24 6550
15 28 98402
16 17 1039
16 21 130856
16 22 169189
17 18 350607
17 19 97020
18 19 3412
18 20 68084
19 20 33827
19 21 22936
19 22 43724
20 21 3993
20 22 13268
21 28 258
22 28 51851
23 28 23814
24 25 49617
24 26 1579
25 26 9847
25 27 10070
26 28 16396
27 28 34944
